customer_id,first_name,last_name,email,phone
CUST1,Ethan,Rogers,e.rogers@gmail.com,509-414-0146
CUST2,Grace,Moore,gracemmoore52@outlook.com,810-927-4014
CUST3,Jennifer,Torres,jennifer_torres@hotmail.com,510-464-7581
CUST4,Tyler,Ramirez,tlramirez@rocketmail.com,831-422-6617
CUST5,Dylan,Anderson,d.anderson@gmail.com,947-890-6700
CUST6,Jessica,Harris,jessica_harris@rocketmail.com,504-360-7290
CUST7,Aubrey,Bryant,aubrey.jean.bryant@rocketmail.com,689-812-1575
CUST8,Brian,Bryant,brianbryant@rocketmail.com,901-018-9692
CUST9,Sara,Howard,sara_howard71@ymail.com,718-897-9193
CUST10,Emily,Richardson,emily.mae.richardson@hotmail.com,203-805-2983
CUST11,Jason,Clark,jason.charles.clark@gmail.com,772-148-9239
CUST12,Richard,Edwards,r.w.edwards@ymail.com,704-635-5761
CUST13,Justin,Miller,justinmiller@yahoo.com,845-889-4431
CUST14,Aiden,Coleman,aiden_m13@gmail.com,914-358-4005
CUST15,Anna,Patterson,a_j_patterson32@gmail.com,985-248-4736
CUST16,Kyle,Baker,k_baker@yahoo.com,813-327-0508
CUST17,Eric,Gray,egray54@aol.com,872-062-1977
CUST18,Alyssa,Jackson,alyssa.i.jackson@ymail.com,712-185-6853
CUST19,Courtney,Russell,c.m.russell88@ymail.com,971-275-6570
CUST20,Mary,Nelson,mary_renee_nelson@yahoo.com,315-937-5009
CUST21,Sophia,Perry,sophia@yahoo.com,765-321-9276
CUST22,Christopher,Scott,c.scott@outlook.com,608-295-4962
CUST23,Victoria,Watson,v_m_watson@gmail.com,616-010-3316
CUST24,Michael,Parker,michaelwilliamparker@aol.com,760-954-5887
CUST25,Andrew,Henderson,andrew.edward@rocketmail.com,919-011-9426
CUST26,Aubrey,Gonzales,aubrey.jane@yahoo.com,952-634-9548
CUST27,Elizabeth,Reed,e.n.reed@hotmail.com,708-014-2212
CUST28,Courtney,Rodriguez,c.rodriguez55@live.com,430-243-6990
CUST29,Sara,Hayes,sara_hayes@yahoo.com,269-392-1370
CUST30,Ryan,Henderson,r.s.henderson@gmail.com,210-915-6866
CUST31,Melissa,Brooks,m.brooks@rocketmail.com,734-635-1749
CUST32,Sebastian,Wright,s_r_wright@live.com,220-755-4860
CUST33,Jennifer,Stewart,j.m@hotmail.com,561-836-1603
CUST34,Heather,Butler,heather41@hotmail.com,712-326-1489
CUST35,Benjamin,Peterson,benjamin.r.peterson@yahoo.com,927-399-5086
CUST36,Nicole,Perry,nicole@hotmail.com,475-646-4959
CUST37,Lillian,Allen,lillian@yahoo.com,309-838-7450
CUST38,Lauren,Jones,lauren.j.jones@live.com,703-925-9410
CUST39,Abigail,Patterson,ampatterson@live.com,731-953-7871
CUST40,Mateo,Moore,mateomoore@outlook.com,973-708-7216
CUST41,Allison,Ward,allison_m_ward@ymail.com,231-394-5409
CUST42,Michelle,Davis,m.davis25@yahoo.com,319-787-9957
CUST43,Anna,Moore,amoore@yahoo.com,203-372-5401
CUST44,Julian,Lewis,j_r_lewis@rocketmail.com,903-838-3182
CUST45,Rachel,Taylor,rachel.mary@live.com,908-214-7907
CUST46,Amanda,Ross,amanda.ross@gmail.com,631-437-8238
CUST47,Mateo,Roberts,m_l_roberts@aol.com,916-727-7624
CUST48,Erin,Baker,erin_baker@live.com,224-665-2879
CUST49,Heather,Wood,h.m.wood9@aol.com,715-806-7494
CUST50,Alexandra,Brown,abrown@gmail.com,361-784-1832
CUST51,Courtney,Parker,c_e_parker@yahoo.com,508-031-7135
CUST52,Joseph,Young,joseph_young@yahoo.com,914-896-0749
